booking_id,client_id,service_type,shoot_date,shoot_days,location_city,currency,gross_amount_ngn,discount_pct,net_amount_ngn,fx_converted,status,lead_source,vat_applied,notes,dq_flags
BK-01990,XT-00898,Corporate Documentary,2024-02-06,3,Enugu,NGN,10490000.0,0.0,10490000.0,False,Completed,Repeat Client,True,"See contract, clause 4b - travel, per diem",No issues
BK-01991,XT-00889,Photoshoot,2024-02-08,1,Abuja,NGN,1690000.0,0.05,1605500.0,False,Completed,Agency Partner,True,Not applicable,No issues
BK-01992,XT-01392,Commercial / TVC,2024-02-09,1,Abuja,NGN,27737000.0,0.0,27737000.0,False,Completed,Unknown,False,Not applicable,No issues
BK-01993,XT-00713,Studio Rental,2024-02-09,1,Lagos,NGN,961000.0,0.0,961000.0,False,Completed,Google,True,client rescheduled once,No issues
BK-01994,XT-00180,Short Film,2024-02-10,2,Abuja,NGN,20884000.0,0.05,19839800.0,False,Completed,Unknown,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-01995,XT-01753,Event Coverage,2024-02-10,1,Kano,NGN,3745000.0,0.0,3745000.0,False,Completed,TikTok,True,client rescheduled once,No issues
BK-01996,XT-01900,Wedding Film,2024-02-10,1,Lagos,NGN,3284000.0,0.0,3284000.0,False,Postponed,Google,True,Not applicable,No issues
BK-01997,XT-00887,Studio Rental,2024-02-12,1,Lagos,NGN,430000.0,0.0,430000.0,False,Postponed,TikTok,True,Not applicable,No issues
BK-01998,XT-00808,Event Coverage,2024-02-12,3,Lagos,NGN,6742000.0,0.0,6742000.0,False,Completed,Referral,True,Not applicable,shoot_days_counted_from_timesheets
BK-01999,XT-01823,Studio Rental,2024-02-13,1,Ibadan,NGN,1616000.0,0.0,1616000.0,False,Completed,TikTok,False,location permit paid by client,No issues
BK-02000,XT-01417,Photoshoot,2024-02-14,2,Lagos,NGN,1030000.0,0.0,1030000.0,False,Completed,Referral,False,"See contract, clause 4b - travel, per diem",No issues
BK-02001,XT-01656,Event Coverage,2024-02-14,1,London,NGN,4683851.2,0.0,4683851.2,True,Postponed,TikTok,False,"Client said ""make it cinematic, like Nolan""",No issues
BK-02002,XT-00272,Music Video,2024-02-14,1,Enugu,NGN,8355000.0,0.0,8355000.0,False,Completed,Unknown,False,location permit paid by client,No issues
BK-02003,XT-00798,Photoshoot,2024-02-15,1,Port Harcourt,NGN,3386000.0,0.0,3386000.0,False,Completed,Agency Partner,False,client rescheduled once,No issues
BK-02004,XT-00199,Photoshoot,2024-02-15,4,Kano,NGN,6518000.0,0.0,6518000.0,False,Completed,Unknown,False,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02005,XT-00141,Unknown,2024-02-15,1,London,NGN,7502582.55,0.0,7502582.55,True,Postponed,Unknown,True,"Overtime: crew stayed till 2am, billed separately",service_type_missing
BK-02006,XT-01853,Commercial / TVC,2024-02-18,2,Lagos,NGN,34030000.0,0.0,34030000.0,False,Completed,Referral,False,"half payment received, balance pending",No issues
BK-02007,XT-01469,Corporate Documentary,2024-02-18,1,Dubai,NGN,10095411.9,0.0,10095411.9,True,In Production,Unknown,True,drone denied by airport authority,fx_rate_carried_from_earlier_day
BK-02008,XT-00779,Commercial / TVC,2024-02-18,1,Lagos,NGN,33319000.0,0.0,33319000.0,False,Completed,Unknown,False,RAW files delivered on 2 x 1TB SSD,No issues
BK-02009,XT-01619,Wedding Film,2024-02-18,1,Port Harcourt,NGN,4100000.0,0.05,3895000.0,False,Completed,TikTok,False,Not applicable,No issues
BK-02010,XT-00865,Photoshoot,2024-02-20,1,Abuja,NGN,2029000.0,0.0,2029000.0,False,Completed,Google,False,Not applicable,shoot_days_counted_from_timesheets
BK-02011,XT-01092,Wedding Film,2024-02-22,1,Lagos,NGN,2510000.0,0.0,2510000.0,False,Completed,Unknown,True,Not applicable,location_city_taken_from_client
BK-02012,XT-01298,Music Video,2024-02-23,1,Ibadan,NGN,11195000.0,0.0,11195000.0,False,Completed,Instagram,True,drone denied by airport authority,No issues
BK-02013,XT-01523,Photoshoot,2024-02-23,2,Port Harcourt,NGN,1353000.0,0.0,1353000.0,False,Completed,Instagram,True,drone denied by airport authority,No issues
BK-02014,XT-00968,Studio Rental,2024-02-24,1,Port Harcourt,NGN,997000.0,0.0,997000.0,False,Completed,Repeat Client,False,RAW files delivered on 2 x 1TB SSD,No issues
BK-02015,XT-00296,Music Video,2024-02-24,1,Lagos,NGN,3130000.0,0.0,3130000.0,False,In Production,Unknown,True,"See contract, clause 4b - travel, per diem",No issues
BK-02016,XT-00789,Photoshoot,2024-02-24,1,Dubai,NGN,4948951.0,0.1,4454055.9,True,Completed,Instagram,True,RAW files delivered on 2 x 1TB SSD,"location_city_taken_from_client,fx_rate_carried_from_earlier_day"
BK-02017,XT-00540,Wedding Film,2024-02-25,2,Johannesburg,NGN,4830000.0,0.0,4830000.0,False,Completed,Google,False,"Overtime: crew stayed till 2am, billed separately",location_city_taken_from_client
BK-02018,XT-01568,Event Coverage,2024-02-27,1,Lagos,NGN,2825000.0,0.0,2825000.0,False,Completed,Unknown,True,Not applicable,No issues
BK-02019,XT-00112,Event Coverage,2024-02-27,1,London,NGN,3288671.3,0.0,3288671.3,True,Completed,Walk-in,False,client rescheduled once,No issues
BK-02020,XT-00147,Wedding Film,2024-02-27,1,Kano,NGN,3960000.0,0.0,3960000.0,False,Cancelled,Instagram,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02021,XT-00174,Photoshoot,2024-02-28,2,Abuja,NGN,1751000.0,0.0,1751000.0,False,Completed,Instagram,True,"half payment received, balance pending",No issues
BK-02022,XT-00188,Event Coverage,2024-02-28,1,Enugu,NGN,2577000.0,0.0,2577000.0,False,Invoiced,Google,True,Not applicable,No issues
BK-02023,XT-00648,Unknown,2024-02-29,1,London,NGN,267687.2,0.0,267687.2,True,Completed,Google,True,Not applicable,"service_type_missing,fx_rate_carried_from_earlier_day"
BK-02024,XT-00354,Short Film,2024-02-29,1,Lagos,NGN,20621000.0,0.0,20621000.0,False,Completed,Google,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02025,XT-01020,Wedding Film,2024-03-01,1,Nairobi,NGN,5332000.0,0.0,5332000.0,False,Completed,Unknown,True,Not applicable,No issues
BK-02026,XT-01787,Photoshoot,2024-03-01,1,Lagos,NGN,2319000.0,0.0,2319000.0,False,Completed,Referral,True,drone denied by airport authority,No issues
BK-02027,XT-00416,Photoshoot,2024-03-02,1,Dubai,NGN,4476230.62,0.0,4476230.62,True,Postponed,Instagram,False,Not applicable,fx_rate_carried_from_earlier_day
BK-02028,XT-00409,Photoshoot,2024-03-03,1,Nairobi,NGN,1026000.0,0.05,974700.0,False,Cancelled,Instagram,True,Not applicable,No issues
BK-02029,XT-01803,Unknown,2024-03-04,2,Enugu,NGN,7391000.0,0.0,7391000.0,False,Completed,Referral,False,drone denied by airport authority,service_type_missing
BK-02030,XT-00489,Music Video,2024-03-04,1,Accra,NGN,14423000.0,0.0,14423000.0,False,Completed,Unknown,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-02031,XT-00900,Event Coverage,2024-03-05,2,Abuja,NGN,2508000.0,0.0,2508000.0,False,Postponed,Agency Partner,False,"See contract, clause 4b - travel, per diem",No issues
BK-02032,XT-01537,Event Coverage,2024-03-05,1,Abuja,NGN,5153000.0,0.0,5153000.0,False,Completed,Agency Partner,True,client rescheduled once,No issues
BK-02033,XT-01799,Wedding Film,2024-03-06,1,Port Harcourt,NGN,3592000.0,0.0,3592000.0,False,Cancelled,Agency Partner,True,Not applicable,No issues
BK-02034,XT-01019,Wedding Film,2024-03-06,2,Lagos,NGN,6954000.0,0.0,6954000.0,False,Invoiced,Google,False,drone denied by airport authority,No issues
BK-02035,XT-00009,Photoshoot,2024-03-07,1,Lagos,NGN,549000.0,0.0,549000.0,False,Completed,Unknown,True,Not applicable,No issues
BK-02036,XT-01293,Music Video,2024-03-07,2,Johannesburg,NGN,11809000.0,0.0,11809000.0,False,Unknown,TikTok,True,Not applicable,status_missing
BK-02037,XT-01676,Wedding Film,2024-03-08,1,London,NGN,5331311.57,0.1,4798180.41,True,Completed,Walk-in,True,client rescheduled once,No issues
BK-02038,XT-01299,Photoshoot,2024-03-08,2,Dubai,NGN,3494794.9,0.0,3494794.9,True,In Production,Referral,False,drone denied by airport authority,No issues
BK-02039,XT-00530,Studio Rental,2024-03-09,1,Abuja,NGN,249000.0,0.0,249000.0,False,In Production,TikTok,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02040,XT-00010,Commercial / TVC,2024-03-09,2,Abuja,NGN,40930000.0,0.0,40930000.0,False,Completed,Referral,True,Not applicable,location_city_taken_from_client
BK-02041,XT-00614,Unknown,2024-03-09,3,Lagos,NGN,37996000.0,0.0,37996000.0,False,Postponed,Instagram,False,Not applicable,service_type_missing
BK-02042,XT-00511,Music Video,2024-03-10,1,Dubai,NGN,9773234.58,0.0,9773234.58,True,Completed,Unknown,False,Not applicable,fx_rate_carried_from_earlier_day
BK-02043,XT-01526,Commercial / TVC,2024-03-10,1,Enugu,NGN,24730000.0,0.0,24730000.0,False,Completed,Google,True,drone denied by airport authority,No issues
BK-02044,XT-00599,Studio Rental,2024-03-10,1,Abuja,NGN,1465000.0,0.0,1465000.0,False,Completed,TikTok,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-02045,XT-01584,Photoshoot,2024-03-11,1,London,NGN,3777520.64,0.0,3777520.64,True,Completed,Referral,True,location permit paid by client,No issues
BK-02046,XT-01007,Photoshoot,2024-03-11,5,Ibadan,NGN,6646000.0,0.0,6646000.0,False,Completed,Agency Partner,True,Not applicable,No issues
BK-02047,XT-00107,Music Video,2024-03-12,1,Lagos,NGN,8491000.0,0.0,8491000.0,False,Completed,Google,True,Not applicable,No issues
BK-02048,XT-00114,Unknown,2024-03-12,1,Abuja,NGN,11323000.0,0.05,10756850.0,False,Cancelled,Agency Partner,True,client rescheduled once,service_type_missing
BK-02049,XT-01879,Unknown,2024-03-12,1,Lagos,NGN,24607000.0,0.0,24607000.0,False,Unknown,Google,True,Not applicable,"service_type_missing,status_missing"
BK-02050,XT-00967,Wedding Film,2024-03-12,1,Enugu,NGN,3646000.0,0.0,3646000.0,False,Cancelled,Unknown,True,Not applicable,No issues
BK-02051,XT-00239,Event Coverage,2024-03-13,1,Atlanta,NGN,1311868.1,0.0,1311868.1,True,Invoiced,TikTok,True,location permit paid by client,No issues
BK-02052,XT-00448,Music Video,2024-03-14,1,Port Harcourt,NGN,7371000.0,0.1,6633900.0,False,Completed,Referral,True,"half payment received, balance pending",location_city_taken_from_client
BK-02053,XT-00225,Music Video,2024-03-14,1,Lagos,NGN,9046000.0,0.0,9046000.0,False,Completed,TikTok,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02054,XT-00720,Wedding Film,2024-03-15,2,Abuja,NGN,3579000.0,0.05,3400050.0,False,Invoiced,Instagram,True,Not applicable,No issues
BK-02055,XT-00812,Event Coverage,2024-03-15,1,Atlanta,NGN,2888158.0,0.1,2599342.2,True,Completed,Unknown,True,Not applicable,No issues
BK-02056,XT-01024,Music Video,2024-03-15,1,Atlanta,NGN,11366964.7,0.0,11366964.7,True,Invoiced,Unknown,True,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02057,XT-00336,Photoshoot,2024-03-15,1,Enugu,NGN,1810000.0,0.0,1810000.0,False,Invoiced,Unknown,False,"See contract, clause 4b - travel, per diem",No issues
BK-02058,XT-00269,Unknown,2024-03-17,1,Abuja,NGN,20571000.0,0.0,20571000.0,False,Completed,Repeat Client,True,Not applicable,service_type_missing
BK-02059,XT-01031,Music Video,2024-03-18,1,Lagos,NGN,9490000.0,0.0,9490000.0,False,Completed,TikTok,False,"half payment received, balance pending",No issues
BK-02060,XT-01003,Studio Rental,2024-03-18,1,Accra,NGN,1435000.0,0.0,1435000.0,False,Completed,Unknown,True,location permit paid by client,No issues
BK-02061,XT-01476,Studio Rental,2024-03-20,1,Lagos,NGN,1128000.0,0.0,1128000.0,False,Cancelled,Walk-in,False,client rescheduled once,No issues
BK-02062,XT-01131,Event Coverage,2024-03-20,1,London,NGN,5359268.4,0.0,5359268.4,True,Completed,Referral,True,Not applicable,No issues
BK-02063,XT-00839,Short Film,2024-03-21,2,Lagos,NGN,31558000.0,0.15,26824300.0,False,Completed,Unknown,True,location permit paid by client,No issues
BK-02064,XT-01250,Commercial / TVC,2024-03-21,2,Abuja,NGN,54591000.0,0.0,54591000.0,False,Cancelled,Google,True,drone denied by airport authority,No issues
BK-02065,XT-00992,Wedding Film,2024-03-22,4,Accra,NGN,12119000.0,0.05,11513050.0,False,Postponed,Google,True,"half payment received, balance pending",No issues
BK-02066,XT-01184,Photoshoot,2024-03-22,1,Atlanta,NGN,2301563.0,0.0,2301563.0,True,Completed,TikTok,True,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02067,XT-00525,Photoshoot,2024-03-23,1,Johannesburg,NGN,2272000.0,0.0,2272000.0,False,Completed,Walk-in,False,"Client said ""make it cinematic, like Nolan""",No issues
BK-02068,XT-00568,Event Coverage,2024-03-23,1,Accra,NGN,3908000.0,0.0,3908000.0,False,Completed,Agency Partner,False,Not applicable,No issues
BK-02069,XT-01837,Wedding Film,2024-03-23,3,London,NGN,6383281.2,0.0,6383281.2,True,Completed,Agency Partner,True,Not applicable,fx_rate_carried_from_earlier_day
BK-02070,XT-01576,Short Film,2024-03-23,1,London,NGN,7051299.0,0.0,7051299.0,True,Cancelled,Unknown,False,RAW files delivered on 2 x 1TB SSD,fx_rate_carried_from_earlier_day
BK-02071,XT-01112,Unknown,2024-03-23,1,Lagos,NGN,3448000.0,0.0,3448000.0,False,Completed,Referral,True,RAW files delivered on 2 x 1TB SSD,service_type_missing
BK-02072,XT-01620,Event Coverage,2024-03-23,1,Lagos,NGN,858000.0,0.0,858000.0,False,Completed,Unknown,True,Not applicable,shoot_days_counted_from_timesheets
BK-02073,XT-00504,Photoshoot,2024-03-24,5,Lagos,NGN,7731000.0,0.0,7731000.0,False,Completed,Repeat Client,True,Not applicable,No issues
BK-02074,XT-00197,Photoshoot,2024-03-24,1,Ibadan,NGN,2749000.0,0.0,2749000.0,False,Completed,Referral,True,Not applicable,No issues
BK-02075,XT-01123,Event Coverage,2024-03-24,1,Lagos,NGN,1615000.0,0.1,1453500.0,False,Postponed,Instagram,True,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02076,XT-00325,Photoshoot,2024-03-25,1,Accra,NGN,691000.0,0.0,691000.0,False,Postponed,Unknown,True,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02077,XT-00263,Music Video,2024-03-25,1,London,NGN,17633278.08,0.0,17633278.08,True,Completed,Repeat Client,False,Not applicable,No issues
BK-02078,XT-00107,Photoshoot,2024-03-25,1,Lagos,NGN,705000.0,0.0,705000.0,False,In Production,Google,False,"half payment received, balance pending",No issues
BK-02079,XT-00779,Music Video,2024-03-26,1,Lagos,NGN,11561000.0,0.0,11561000.0,False,Invoiced,TikTok,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02080,XT-00489,Music Video,2024-03-26,1,Accra,NGN,21110000.0,0.0,21110000.0,False,In Production,Agency Partner,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-02081,XT-00796,Wedding Film,2024-03-26,4,Port Harcourt,NGN,13870000.0,0.1,12483000.0,False,Cancelled,Unknown,True,location permit paid by client,No issues
BK-02082,XT-00050,Photoshoot,2024-03-28,1,Dubai,NGN,763102.8,0.05,724947.66,True,Completed,Unknown,False,Not applicable,No issues
BK-02083,XT-00494,Event Coverage,2024-03-30,1,Abuja,NGN,5026000.0,0.0,5026000.0,False,Invoiced,Instagram,True,Not applicable,No issues
BK-02084,XT-01457,Wedding Film,2024-03-30,1,Lagos,NGN,4356000.0,0.0,4356000.0,False,Completed,Agency Partner,True,"half payment received, balance pending",No issues
BK-02085,XT-00927,Photoshoot,2024-03-30,4,Dubai,NGN,9616355.6,0.0,9616355.6,True,Unknown,Instagram,True,"Client said ""make it cinematic, like Nolan""","fx_rate_carried_from_earlier_day,status_missing"
BK-02086,XT-00854,Commercial / TVC,2024-04-01,1,Lagos,NGN,32710000.0,0.0,32710000.0,False,Completed,Instagram,False,Not applicable,No issues
BK-02087,XT-01619,Photoshoot,2024-04-01,1,Port Harcourt,NGN,2957000.0,0.0,2957000.0,False,Invoiced,Repeat Client,True,Not applicable,No issues
BK-02088,XT-00860,Wedding Film,2024-04-02,2,London,NGN,13048014.52,0.0,13048014.52,True,Completed,Repeat Client,True,Not applicable,No issues
BK-02089,XT-01731,Wedding Film,2024-04-03,2,Lagos,NGN,4068000.0,0.05,3864600.0,False,Completed,Unknown,True,"half payment received, balance pending",No issues
BK-02090,XT-00765,Photoshoot,2024-04-03,2,Lagos,NGN,2451000.0,0.05,2328450.0,False,Completed,Unknown,True,"half payment received, balance pending",No issues
BK-02091,XT-00928,Event Coverage,2024-04-04,2,Ibadan,NGN,6566000.0,0.0,6566000.0,False,Completed,Agency Partner,True,Not applicable,No issues
BK-02092,XT-00600,Unknown,2024-04-05,1,Atlanta,NGN,3959507.52,0.0,3959507.52,True,In Production,Instagram,True,location permit paid by client,service_type_missing
BK-02093,XT-01308,Event Coverage,2024-04-05,2,Enugu,NGN,4397000.0,0.0,4397000.0,False,Completed,Instagram,False,Not applicable,No issues
BK-02094,XT-01427,Short Film,2024-04-05,1,Lagos,NGN,20411000.0,0.0,20411000.0,False,Completed,Instagram,True,Not applicable,location_city_taken_from_client
BK-02095,XT-00805,Wedding Film,2024-04-06,1,Lagos,NGN,6396000.0,0.0,6396000.0,False,Completed,Repeat Client,True,drone denied by airport authority,No issues
BK-02096,XT-00008,Photoshoot,2024-04-06,1,Lagos,NGN,2670000.0,0.0,2670000.0,False,Postponed,Repeat Client,False,Not applicable,No issues
BK-02097,XT-01633,Photoshoot,2024-04-06,1,Lagos,NGN,3731000.0,0.0,3731000.0,False,Unknown,Repeat Client,True,client rescheduled once,status_missing
BK-02098,XT-00185,Music Video,2024-04-06,2,Abuja,NGN,14230000.0,0.0,14230000.0,False,Completed,Walk-in,True,Not applicable,No issues
BK-02099,XT-01184,Event Coverage,2024-04-06,1,Atlanta,NGN,5059370.72,0.0,5059370.72,True,Postponed,Unknown,True,Not applicable,fx_rate_carried_from_earlier_day
BK-02100,XT-00060,Event Coverage,2024-04-06,1,Lagos,NGN,5338000.0,0.0,5338000.0,False,Completed,Unknown,True,Not applicable,No issues
BK-02101,XT-01619,Photoshoot,2024-04-06,2,Port Harcourt,NGN,1183000.0,0.0,1183000.0,False,Invoiced,TikTok,True,"half payment received, balance pending",No issues
BK-02102,XT-01046,Wedding Film,2024-04-06,3,Lagos,NGN,4334000.0,0.0,4334000.0,False,Invoiced,Referral,False,"half payment received, balance pending",No issues
BK-02103,XT-01258,Studio Rental,2024-04-07,4,Abuja,NGN,837000.0,0.0,837000.0,False,Completed,Google,True,Not applicable,No issues
BK-02104,XT-01003,Corporate Documentary,2024-04-08,1,Accra,NGN,13414000.0,0.0,13414000.0,False,Completed,Agency Partner,False,drone denied by airport authority,No issues
BK-02105,XT-00639,Unknown,2024-04-08,1,Enugu,NGN,197000.0,0.0,197000.0,False,Postponed,Repeat Client,False,"See contract, clause 4b - travel, per diem",service_type_missing
BK-02106,XT-00811,Corporate Documentary,2024-04-09,1,London,NGN,7738991.3,0.1,6965092.17,True,Completed,Instagram,True,Not applicable,fx_rate_carried_from_earlier_day
BK-02107,XT-00025,Studio Rental,2024-04-09,Unknown,Lagos,NGN,1356000.0,0.0,1356000.0,False,Cancelled,Walk-in,True,Not applicable,shoot_days_missing
BK-02108,XT-01060,Short Film,2024-04-09,1,Accra,NGN,11763000.0,0.0,11763000.0,False,Completed,Unknown,True,location permit paid by client,No issues
BK-02109,XT-00385,Music Video,2024-04-10,1,Lagos,NGN,16537000.0,0.0,16537000.0,False,Cancelled,Instagram,True,"half payment received, balance pending",No issues
BK-02110,XT-00928,Commercial / TVC,2024-04-10,4,Ibadan,NGN,107039000.0,0.0,107039000.0,False,Invoiced,Instagram,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-02111,XT-00175,Commercial / TVC,2024-04-11,1,Lagos,NGN,36258000.0,0.0,36258000.0,False,Completed,Referral,False,RAW files delivered on 2 x 1TB SSD,No issues
BK-02112,XT-00434,Photoshoot,2024-04-11,1,Lagos,NGN,2110000.0,0.0,2110000.0,False,Invoiced,Instagram,False,Not applicable,No issues
BK-02113,XT-01875,Studio Rental,2024-04-11,1,Lagos,NGN,182000.0,0.0,182000.0,False,Completed,Referral,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-02114,XT-00094,Music Video,2024-04-12,1,Port Harcourt,NGN,20841000.0,0.0,20841000.0,False,Completed,Referral,True,location permit paid by client,No issues
BK-02115,XT-00463,Studio Rental,2024-04-13,1,Lagos,NGN,560000.0,0.1,504000.0,False,Completed,Agency Partner,True,"See contract, clause 4b - travel, per diem",No issues
BK-02116,XT-01167,Studio Rental,2024-04-13,1,Ibadan,NGN,857000.0,0.0,857000.0,False,Completed,Walk-in,False,RAW files delivered on 2 x 1TB SSD,No issues
BK-02117,XT-00123,Commercial / TVC,2024-04-13,1,Abuja,NGN,50350000.0,0.0,50350000.0,False,Invoiced,Unknown,True,Not applicable,No issues
BK-02118,XT-00404,Photoshoot,2024-04-13,1,Abuja,NGN,2506000.0,0.0,2506000.0,False,In Production,Walk-in,False,location permit paid by client,No issues
BK-02119,XT-00247,Studio Rental,2024-04-13,1,Nairobi,NGN,649000.0,0.0,649000.0,False,Completed,Repeat Client,False,"Overtime: crew stayed till 2am, billed separately",No issues
BK-02120,XT-01579,Corporate Documentary,2024-04-13,1,Dubai,NGN,22057838.26,0.0,22057838.26,True,Postponed,TikTok,True,client rescheduled once,fx_rate_carried_from_earlier_day
BK-02121,XT-00788,Music Video,2024-04-13,1,Lagos,NGN,8361000.0,0.0,8361000.0,False,Invoiced,Agency Partner,False,Not applicable,No issues
BK-02122,XT-01809,Studio Rental,2024-04-13,1,Lagos,NGN,764000.0,0.0,764000.0,False,In Production,Referral,True,Not applicable,No issues
BK-02123,XT-00124,Corporate Documentary,2024-04-14,1,Kano,NGN,14265000.0,0.0,14265000.0,False,Completed,Agency Partner,False,RAW files delivered on 2 x 1TB SSD,No issues
