booking_id,client_id,service_type,shoot_date,shoot_days,location_city,currency,gross_amount_ngn,discount_pct,net_amount_ngn,fx_converted,status,lead_source,notes,dq_flags
BK-01021,XT-01816,Wedding Film,2023-01-30,2,Abuja,NGN,8540000.0,0.0,8540000.0,False,Completed,Referral,"Client said ""make it cinematic, like Nolan""",location_city_taken_from_client
BK-01022,XT-00203,Unknown,2023-01-30,2,Lagos,NGN,4842000.0,0.0,4842000.0,False,Completed,Instagram,"half payment received, balance pending",service_type_missing
BK-01023,XT-01778,Event Coverage,2023-01-31,1,Port Harcourt,NGN,2095000.0,0.0,2095000.0,False,Completed,Walk-in,location permit paid by client,No issues
BK-01024,XT-00598,Corporate Documentary,2023-02-02,1,Dubai,NGN,3293475.3,0.0,3293475.3,True,Invoiced,Repeat Client,"Client said ""make it cinematic, like Nolan""",No issues
BK-01025,XT-00866,Wedding Film,2023-02-02,2,Lagos,NGN,2882000.0,0.0,2882000.0,False,Completed,Referral,Not applicable,No issues
BK-01026,XT-00379,Corporate Documentary,2023-02-03,1,Lagos,NGN,14251000.0,0.0,14251000.0,False,Completed,Agency Partner,Not applicable,No issues
BK-01027,XT-01183,Wedding Film,2023-02-04,1,Lagos,NGN,5319000.0,0.0,5319000.0,False,Cancelled,Agency Partner,Not applicable,No issues
BK-01028,XT-00980,Unknown,2023-02-04,1,Lagos,NGN,407000.0,0.0,407000.0,False,Postponed,TikTok,Not applicable,service_type_missing
BK-01029,XT-01214,Studio Rental,2023-02-04,1,Lagos,NGN,825000.0,0.0,825000.0,False,Completed,TikTok,Not applicable,No issues
BK-01030,XT-00250,Commercial / TVC,2023-02-04,1,Accra,NGN,6830000.0,0.0,6830000.0,False,Completed,Repeat Client,drone denied by airport authority,No issues
BK-01031,XT-01203,Wedding Film,2023-02-05,1,Lagos,NGN,3355000.0,0.0,3355000.0,False,Completed,Agency Partner,Not applicable,No issues
BK-01032,XT-01617,Music Video,2023-02-06,3,Lagos,NGN,10037000.0,0.0,10037000.0,False,Postponed,Referral,"Client said ""make it cinematic, like Nolan""",No issues
BK-01033,XT-01788,Corporate Documentary,2023-02-07,2,Abuja,NGN,13725000.0,0.0,13725000.0,False,Postponed,Referral,client rescheduled once,No issues
BK-01034,XT-01381,Music Video,2023-02-07,1,Lagos,NGN,11186000.0,0.0,11186000.0,False,Completed,Referral,RAW files delivered on 2 x 1TB SSD,No issues
BK-01035,XT-00098,Corporate Documentary,2023-02-07,2,Abuja,NGN,7585000.0,0.0,7585000.0,False,In Production,Google,location permit paid by client,No issues
BK-01036,XT-00650,Wedding Film,2023-02-09,1,Lagos,NGN,6202000.0,0.1,5581800.0,False,Cancelled,Instagram,"half payment received, balance pending",No issues
BK-01037,XT-01580,Corporate Documentary,2023-02-09,1,Enugu,NGN,10077000.0,0.0,10077000.0,False,Invoiced,Referral,"Client said ""make it cinematic, like Nolan""",No issues
BK-01038,XT-01537,Studio Rental,2023-02-09,1,Abuja,NGN,169000.0,0.0,169000.0,False,Completed,Unknown,Not applicable,No issues
BK-01039,XT-00215,Commercial / TVC,2023-02-10,1,Abuja,NGN,45968000.0,0.0,45968000.0,False,Completed,Walk-in,Not applicable,No issues
BK-01040,XT-00390,Wedding Film,2023-02-11,1,Port Harcourt,NGN,6155000.0,0.0,6155000.0,False,Cancelled,Unknown,drone denied by airport authority,No issues
BK-01041,XT-01139,Event Coverage,2023-02-11,1,London,NGN,1231488.63,0.0,1231488.63,True,Completed,Instagram,"Client said ""make it cinematic, like Nolan""",fx_rate_carried_from_earlier_day
BK-01042,XT-00103,Commercial / TVC,2023-02-11,1,Enugu,NGN,14098000.0,0.0,14098000.0,False,Cancelled,Instagram,"See contract, clause 4b - travel, per diem",No issues
BK-01043,XT-01051,Wedding Film,2023-02-14,2,Atlanta,NGN,2388338.17,0.0,2388338.17,True,Cancelled,Repeat Client,Not applicable,No issues
BK-01044,XT-01273,Commercial / TVC,2023-02-14,2,Atlanta,NGN,4707592.18,0.0,4707592.18,True,Completed,Instagram,"Client said ""make it cinematic, like Nolan""",location_city_taken_from_client
BK-01045,XT-00189,Photoshoot,2023-02-15,3,Lagos,NGN,2389000.0,0.0,2389000.0,False,Postponed,Instagram,Not applicable,location_city_taken_from_client
BK-01046,XT-01240,Music Video,2023-02-16,1,Lagos,NGN,3597000.0,0.0,3597000.0,False,Invoiced,Repeat Client,location permit paid by client,No issues
BK-01047,XT-01267,Photoshoot,2023-02-17,1,Lagos,NGN,3040000.0,0.0,3040000.0,False,Completed,Unknown,Not applicable,No issues
BK-01048,XT-01814,Event Coverage,2023-02-19,1,Lagos,NGN,1350000.0,0.0,1350000.0,False,Completed,Referral,client rescheduled once,No issues
BK-01049,XT-00032,Music Video,2023-02-19,1,Johannesburg,NGN,5189000.0,0.0,5189000.0,False,Completed,Walk-in,Not applicable,No issues
BK-01050,XT-01663,Studio Rental,2023-02-19,1,Lagos,NGN,895000.0,0.0,895000.0,False,Completed,Agency Partner,"half payment received, balance pending",No issues
BK-01051,XT-01579,Wedding Film,2023-02-20,1,Dubai,NGN,2177646.65,0.0,2177646.65,True,Completed,Agency Partner,Not applicable,No issues
BK-01052,XT-00419,Photoshoot,2023-02-22,1,Lagos,NGN,1486000.0,0.0,1486000.0,False,Completed,Agency Partner,"Overtime: crew stayed till 2am, billed separately",No issues
BK-01053,XT-00234,Commercial / TVC,2023-02-22,3,Abuja,NGN,46004000.0,0.0,46004000.0,False,Completed,TikTok,Not applicable,No issues
BK-01054,XT-01213,Studio Rental,2023-02-24,1,Abuja,NGN,864000.0,0.0,864000.0,False,Cancelled,Unknown,Not applicable,No issues
BK-01055,XT-00870,Unknown,2023-02-25,1,Lagos,NGN,1391000.0,0.0,1391000.0,False,Completed,Google,Not applicable,service_type_missing
BK-01056,XT-00098,Photoshoot,2023-02-26,2,Abuja,NGN,2986000.0,0.0,2986000.0,False,Completed,Repeat Client,drone denied by airport authority,No issues
BK-01057,XT-00244,Music Video,2023-02-26,2,Enugu,NGN,4502000.0,0.0,4502000.0,False,Invoiced,Repeat Client,Not applicable,currency_inferred_from_client_other_bookings
BK-01058,XT-00289,Wedding Film,2023-02-26,1,Ibadan,NGN,5177000.0,0.0,5177000.0,False,Completed,Instagram,"half payment received, balance pending",No issues
BK-01059,XT-01879,Music Video,2023-02-26,1,Lagos,NGN,17446000.0,0.0,17446000.0,False,Postponed,Referral,RAW files delivered on 2 x 1TB SSD,No issues
BK-01060,XT-01251,Event Coverage,2023-02-27,1,Ibadan,NGN,1512000.0,0.0,1512000.0,False,Cancelled,Referral,drone denied by airport authority,No issues
BK-01061,XT-01323,Event Coverage,2023-02-27,1,Abuja,NGN,883000.0,0.0,883000.0,False,Completed,TikTok,drone denied by airport authority,No issues
BK-01062,XT-00968,Wedding Film,2023-02-27,3,Port Harcourt,NGN,4630000.0,0.0,4630000.0,False,Completed,Agency Partner,"See contract, clause 4b - travel, per diem",location_city_taken_from_client
BK-01063,XT-01252,Event Coverage,2023-02-27,1,Lagos,NGN,3131000.0,0.0,3131000.0,False,Completed,Agency Partner,"half payment received, balance pending",No issues
BK-01064,XT-00372,Studio Rental,2023-03-01,2,Lagos,NGN,287000.0,0.0,287000.0,False,Invoiced,Instagram,drone denied by airport authority,No issues
BK-01065,XT-00098,Studio Rental,2023-03-01,1,Abuja,NGN,977000.0,0.0,977000.0,False,Completed,Instagram,Not applicable,No issues
BK-01066,XT-01526,Photoshoot,2023-03-01,1,Enugu,NGN,2800000.0,0.0,2800000.0,False,Completed,Unknown,Not applicable,No issues
BK-01067,XT-00998,Short Film,2023-03-02,1,Port Harcourt,NGN,17827000.0,0.0,17827000.0,False,Completed,Walk-in,Not applicable,No issues
BK-01068,XT-00997,Photoshoot,2023-03-02,1,Dubai,NGN,958971.23,0.0,958971.23,True,Unknown,Unknown,Not applicable,status_missing
BK-01069,XT-00114,Music Video,2023-03-02,1,Abuja,NGN,3990000.0,0.0,3990000.0,False,Completed,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01070,XT-01854,Photoshoot,2023-03-02,4,Lagos,NGN,5634000.0,0.0,5634000.0,False,Completed,TikTok,"Client said ""make it cinematic, like Nolan""",shoot_days_counted_from_timesheets
BK-01071,XT-01400,Wedding Film,2023-03-03,1,Lagos,NGN,4077000.0,0.0,4077000.0,False,Postponed,TikTok,Not applicable,No issues
BK-01072,XT-00727,Event Coverage,2023-03-03,1,Lagos,NGN,1242000.0,0.05,1179900.0,False,Completed,Google,location permit paid by client,No issues
BK-01073,XT-00584,Photoshoot,2023-03-03,1,Enugu,NGN,1887000.0,0.0,1887000.0,False,Completed,Google,"half payment received, balance pending",No issues
BK-01074,XT-01080,Corporate Documentary,2023-03-04,3,Lagos,NGN,19140000.0,0.0,19140000.0,False,Postponed,TikTok,Not applicable,No issues
BK-01075,XT-00370,Wedding Film,2023-03-06,1,Port Harcourt,NGN,2757000.0,0.0,2757000.0,False,In Production,Walk-in,"Client said ""make it cinematic, like Nolan""",No issues
BK-01076,XT-00661,Event Coverage,2023-03-07,1,Ibadan,NGN,3303000.0,0.0,3303000.0,False,Completed,Agency Partner,"half payment received, balance pending",No issues
BK-01077,XT-01806,Music Video,2023-03-09,2,Port Harcourt,NGN,12390000.0,0.0,12390000.0,False,Postponed,Referral,"half payment received, balance pending",No issues
BK-01078,XT-00020,Commercial / TVC,2023-03-09,1,Abuja,NGN,12130000.0,0.0,12130000.0,False,Completed,TikTok,drone denied by airport authority,No issues
BK-01079,XT-01853,Wedding Film,2023-03-10,1,Lagos,NGN,5987000.0,0.0,5987000.0,False,Postponed,Repeat Client,location permit paid by client,location_city_taken_from_client
BK-01080,XT-00647,Wedding Film,2023-03-10,1,Ibadan,NGN,2685000.0,0.0,2685000.0,False,Invoiced,Unknown,Not applicable,No issues
BK-01081,XT-01647,Photoshoot,2023-03-11,2,Atlanta,NGN,1363847.6,0.0,1363847.6,True,Unknown,Instagram,"Client said ""make it cinematic, like Nolan""","fx_rate_carried_from_earlier_day,status_missing"
BK-01082,XT-00736,Event Coverage,2023-03-12,1,Johannesburg,NGN,3538000.0,0.0,3538000.0,False,Invoiced,Referral,Not applicable,No issues
BK-01083,XT-00322,Commercial / TVC,2023-03-12,2,Lagos,NGN,8435000.0,0.0,8435000.0,False,Cancelled,Walk-in,RAW files delivered on 2 x 1TB SSD,No issues
BK-01084,XT-00075,Photoshoot,2023-03-12,1,Lagos,NGN,3223000.0,0.0,3223000.0,False,Completed,Instagram,"half payment received, balance pending",No issues
BK-01085,XT-01615,Event Coverage,2023-03-13,1,London,NGN,560448.02,0.0,560448.02,True,Completed,Referral,Not applicable,No issues
BK-01086,XT-01699,Wedding Film,2023-03-14,1,Lagos,NGN,2252000.0,0.0,2252000.0,False,Invoiced,Walk-in,"Client said ""make it cinematic, like Nolan""",No issues
BK-01087,XT-00215,Photoshoot,2023-03-15,1,Abuja,NGN,824000.0,0.0,824000.0,False,Completed,Instagram,Not applicable,No issues
BK-01088,XT-00803,Commercial / TVC,2023-03-15,2,London,NGN,4009038.71,0.0,4009038.71,True,Completed,Referral,client rescheduled once,No issues
BK-01089,XT-00105,Commercial / TVC,2023-03-16,1,Abuja,NGN,37866000.0,0.0,37866000.0,False,Completed,Referral,Not applicable,No issues
BK-01090,XT-00306,Event Coverage,2023-03-17,1,Port Harcourt,NGN,2056000.0,0.0,2056000.0,False,Completed,Walk-in,Not applicable,No issues
BK-01091,XT-01774,Unknown,2023-03-17,1,Abuja,NGN,6405000.0,0.0,6405000.0,False,Completed,Unknown,drone denied by airport authority,"shoot_days_counted_from_timesheets,service_type_missing"
BK-01092,XT-00147,Wedding Film,2023-03-18,2,Kano,NGN,7584000.0,0.0,7584000.0,False,Completed,Walk-in,client rescheduled once,No issues
BK-01093,XT-01014,Event Coverage,2023-03-18,1,Accra,NGN,3817000.0,0.0,3817000.0,False,Postponed,Referral,client rescheduled once,No issues
BK-01094,XT-01734,Unknown,2023-03-18,1,Lagos,NGN,4791000.0,0.0,4791000.0,False,Invoiced,Agency Partner,Not applicable,service_type_missing
BK-01095,XT-01181,Studio Rental,2023-03-20,1,Port Harcourt,NGN,592000.0,0.0,592000.0,False,Completed,Referral,Not applicable,No issues
BK-01096,XT-00218,Photoshoot,2023-03-21,1,Lagos,NGN,782000.0,0.0,782000.0,False,In Production,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01097,XT-01012,Wedding Film,2023-03-21,1,Lagos,NGN,6345000.0,0.0,6345000.0,False,In Production,Repeat Client,RAW files delivered on 2 x 1TB SSD,No issues
BK-01098,XT-00152,Commercial / TVC,2023-03-22,1,Lagos,NGN,13237000.0,0.0,13237000.0,False,Postponed,Walk-in,drone denied by airport authority,No issues
BK-01099,XT-01451,Wedding Film,2023-03-22,1,Lagos,NGN,2242000.0,0.0,2242000.0,False,In Production,TikTok,client rescheduled once,No issues
BK-01100,XT-01683,Commercial / TVC,2023-03-24,1,Lagos,NGN,7075000.0,0.0,7075000.0,False,Invoiced,Instagram,RAW files delivered on 2 x 1TB SSD,No issues
BK-01101,XT-01012,Wedding Film,2023-03-25,2,Lagos,NGN,3944000.0,0.0,3944000.0,False,Completed,Instagram,"half payment received, balance pending",No issues
BK-01102,XT-00300,Wedding Film,2023-03-25,1,Accra,NGN,2790000.0,0.0,2790000.0,False,Invoiced,TikTok,RAW files delivered on 2 x 1TB SSD,No issues
BK-01103,XT-01521,Wedding Film,2023-03-25,1,Lagos,NGN,2899000.0,0.05,2754050.0,False,Completed,Repeat Client,Not applicable,shoot_days_counted_from_timesheets
BK-01104,XT-01009,Event Coverage,2023-03-25,1,Port Harcourt,NGN,3860000.0,0.0,3860000.0,False,Completed,Unknown,Not applicable,No issues
BK-01105,XT-00650,Unknown,2023-03-25,2,Lagos,NGN,3485000.0,0.0,3485000.0,False,In Production,Repeat Client,Not applicable,service_type_missing
BK-01106,XT-00915,Unknown,2023-03-25,1,Accra,NGN,2419000.0,0.0,2419000.0,False,Completed,Unknown,location permit paid by client,service_type_missing
BK-01107,XT-00248,Photoshoot,2023-03-25,2,Lagos,NGN,2405000.0,0.0,2405000.0,False,Completed,Google,location permit paid by client,No issues
BK-01108,XT-01629,Corporate Documentary,2023-03-25,1,London,NGN,1045116.82,0.0,1045116.82,True,Invoiced,TikTok,"half payment received, balance pending",fx_rate_carried_from_earlier_day
BK-01109,XT-00376,Wedding Film,2023-03-25,1,Nairobi,NGN,3080000.0,0.0,3080000.0,False,Completed,Repeat Client,client rescheduled once,No issues
BK-01110,XT-00440,Studio Rental,2023-03-26,1,Abuja,NGN,1195000.0,0.0,1195000.0,False,Completed,Agency Partner,client rescheduled once,No issues
BK-01111,XT-01061,Short Film,2023-03-26,1,Abuja,NGN,9109000.0,0.0,9109000.0,False,Completed,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01112,XT-01699,Wedding Film,2023-03-26,1,Lagos,NGN,5580000.0,0.0,5580000.0,False,Unknown,TikTok,client rescheduled once,"location_city_taken_from_client,status_missing"
BK-01113,XT-01664,Music Video,2023-03-26,1,Enugu,NGN,6190000.0,0.0,6190000.0,False,Completed,Instagram,client rescheduled once,No issues
BK-01114,XT-01493,Commercial / TVC,2023-03-27,1,Port Harcourt,NGN,32372000.0,0.0,32372000.0,False,Completed,Unknown,"See contract, clause 4b - travel, per diem",No issues
BK-01115,XT-00911,Wedding Film,2023-03-29,1,Nairobi,NGN,2341000.0,0.0,2341000.0,False,Completed,Instagram,"Client said ""make it cinematic, like Nolan""",No issues
BK-01116,XT-00845,Unknown,2023-03-29,1,Abuja,NGN,16672000.0,0.05,15838400.0,False,Completed,Agency Partner,"half payment received, balance pending",service_type_missing
BK-01117,XT-00323,Studio Rental,2023-03-30,1,Ibadan,NGN,1293000.0,0.0,1293000.0,False,Postponed,Agency Partner,"Overtime: crew stayed till 2am, billed separately",No issues
BK-01118,XT-01759,Event Coverage,2023-03-31,2,Lagos,NGN,2856000.0,0.0,2856000.0,False,In Production,Unknown,drone denied by airport authority,No issues
BK-01119,XT-01334,Studio Rental,2023-03-31,1,Lagos,NGN,653000.0,0.0,653000.0,False,Completed,TikTok,Not applicable,No issues
BK-01120,XT-01474,Photoshoot,2023-03-31,1,Port Harcourt,NGN,1766000.0,0.0,1766000.0,False,Unknown,Unknown,Not applicable,status_missing
BK-01121,XT-00765,Photoshoot,2023-04-01,1,Lagos,NGN,3343000.0,0.0,3343000.0,False,Completed,Instagram,location permit paid by client,No issues
BK-01122,XT-00825,Music Video,2023-04-01,1,Lagos,NGN,10109000.0,0.0,10109000.0,False,Cancelled,Walk-in,Not applicable,No issues
BK-01123,XT-00521,Music Video,2023-04-01,1,Kano,NGN,8757000.0,0.0,8757000.0,False,In Production,Instagram,"Client said ""make it cinematic, like Nolan""",No issues
BK-01124,XT-01536,Corporate Documentary,2023-04-01,1,Ibadan,NGN,14080000.0,0.05,13376000.0,False,Cancelled,Walk-in,Not applicable,No issues
BK-01125,XT-00872,Event Coverage,2023-04-02,1,Abuja,NGN,3536000.0,0.0,3536000.0,False,Completed,Walk-in,"See contract, clause 4b - travel, per diem",No issues
BK-01126,XT-00011,Photoshoot,2023-04-02,Unknown,Enugu,NGN,1406000.0,0.0,1406000.0,False,Cancelled,Referral,Not applicable,shoot_days_missing
BK-01127,XT-00502,Wedding Film,2023-04-02,4,Lagos,NGN,10390000.0,0.0,10390000.0,False,Invoiced,Repeat Client,Not applicable,No issues
BK-01128,XT-01717,Corporate Documentary,2023-04-02,1,Lagos,NGN,12317000.0,0.0,12317000.0,False,Completed,Instagram,Not applicable,location_city_taken_from_client
BK-01129,XT-01875,Music Video,2023-04-02,2,Lagos,NGN,24682000.0,0.0,24682000.0,False,Completed,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01130,XT-01334,Wedding Film,2023-04-02,3,Lagos,NGN,7190000.0,0.0,7190000.0,False,In Production,Unknown,Not applicable,No issues
BK-01131,XT-01341,Commercial / TVC,2023-04-02,1,Accra,NGN,44872000.0,0.0,44872000.0,False,Unknown,Unknown,Not applicable,status_missing
BK-01132,XT-01006,Wedding Film,2023-04-02,1,Lagos,NGN,3756000.0,0.0,3756000.0,False,Completed,TikTok,location permit paid by client,location_city_taken_from_client
BK-01133,XT-00910,Photoshoot,2023-04-03,1,London,NGN,1083746.39,0.0,1083746.39,True,Postponed,Walk-in,drone denied by airport authority,No issues
BK-01134,XT-00918,Studio Rental,2023-04-03,1,Abuja,NGN,1221000.0,0.0,1221000.0,False,Completed,Repeat Client,location permit paid by client,No issues
BK-01135,XT-01735,Unknown,2023-04-03,1,Lagos,NGN,1355000.0,0.0,1355000.0,False,Completed,Unknown,Not applicable,service_type_missing
BK-01136,XT-00549,Unknown,2023-04-03,2,Atlanta,NGN,608180.4,0.0,608180.4,True,Completed,Walk-in,client rescheduled once,service_type_missing
BK-01137,XT-00158,Photoshoot,2023-04-04,4,Accra,NGN,3659000.0,0.0,3659000.0,False,Completed,Repeat Client,Not applicable,No issues
BK-01138,XT-00892,Commercial / TVC,2023-04-04,1,Lagos,NGN,28063000.0,0.0,28063000.0,False,Completed,Walk-in,"half payment received, balance pending",No issues
BK-01139,XT-01072,Music Video,2023-04-04,4,Lagos,NGN,33884000.0,0.0,33884000.0,False,Completed,Referral,"Client said ""make it cinematic, like Nolan""",shoot_days_counted_from_timesheets
BK-01140,XT-01378,Event Coverage,2023-04-05,1,Lagos,NGN,2292000.0,0.05,2177400.0,False,Completed,Google,"See contract, clause 4b - travel, per diem",No issues
BK-01141,XT-00349,Unknown,2023-04-05,1,Ibadan,NGN,2560000.0,0.0,2560000.0,False,Cancelled,Agency Partner,"Overtime: crew stayed till 2am, billed separately",service_type_missing
BK-01142,XT-01230,Corporate Documentary,2023-04-05,1,Lagos,NGN,4341000.0,0.0,4341000.0,False,Cancelled,Repeat Client,drone denied by airport authority,No issues
BK-01143,XT-00696,Wedding Film,2023-04-06,1,Lagos,NGN,1935000.0,0.1,1741500.0,False,In Production,Agency Partner,"See contract, clause 4b - travel, per diem",No issues
BK-01144,XT-01025,Wedding Film,2023-04-06,3,Lagos,NGN,6280000.0,0.0,6280000.0,False,Completed,Instagram,"See contract, clause 4b - travel, per diem",No issues
BK-01145,XT-01258,Photoshoot,2023-04-06,1,Abuja,NGN,3123000.0,0.0,3123000.0,False,Cancelled,Unknown,client rescheduled once,No issues
BK-01146,XT-00952,Music Video,2023-04-07,2,Dubai,NGN,3914866.4,0.0,3914866.4,True,Completed,Google,Not applicable,fx_rate_carried_from_earlier_day
BK-01147,XT-00605,Corporate Documentary,2023-04-07,2,Enugu,NGN,19060000.0,0.1,17154000.0,False,Completed,Instagram,Not applicable,location_city_taken_from_client
BK-01148,XT-01573,Event Coverage,2023-04-07,3,Port Harcourt,NGN,6638000.0,0.0,6638000.0,False,Invoiced,Instagram,"half payment received, balance pending",location_city_taken_from_client
BK-01149,XT-01039,Event Coverage,2023-04-08,1,Nairobi,NGN,3109000.0,0.1,2798100.0,False,Completed,Google,Not applicable,No issues
BK-01150,XT-00062,Unknown,2023-04-08,1,Lagos,NGN,1104000.0,0.0,1104000.0,False,In Production,Referral,"Overtime: crew stayed till 2am, billed separately",service_type_missing
BK-01151,XT-01641,Unknown,2023-04-08,1,Abuja,NGN,1298000.0,0.0,1298000.0,False,Completed,TikTok,RAW files delivered on 2 x 1TB SSD,service_type_missing
BK-01152,XT-00940,Music Video,2023-04-08,1,Abuja,NGN,14227000.0,0.0,14227000.0,False,Completed,Repeat Client,Not applicable,No issues
BK-01153,XT-00725,Wedding Film,2023-04-08,Unknown,Lagos,NGN,10192000.0,0.0,10192000.0,False,Cancelled,Google,Not applicable,shoot_days_missing
BK-01154,XT-00503,Music Video,2023-04-08,1,Lagos,NGN,17289000.0,0.0,17289000.0,False,Completed,Walk-in,Not applicable,No issues
BK-01155,XT-00765,Music Video,2023-04-09,1,Lagos,NGN,15685000.0,0.0,15685000.0,False,Completed,Unknown,Not applicable,No issues
BK-01156,XT-01498,Photoshoot,2023-04-09,1,Lagos,NGN,2618000.0,0.0,2618000.0,False,In Production,TikTok,"half payment received, balance pending",No issues
BK-01157,XT-01243,Wedding Film,2023-04-09,2,Lagos,NGN,7815000.0,0.0,7815000.0,False,Completed,Instagram,Not applicable,No issues
BK-01158,XT-01645,Unknown,2023-04-09,1,Abuja,NGN,3344000.0,0.0,3344000.0,False,Completed,Instagram,location permit paid by client,service_type_missing
BK-01159,XT-00482,Wedding Film,2023-04-09,1,Lagos,NGN,4992000.0,0.0,4992000.0,False,Cancelled,Instagram,"Client said ""make it cinematic, like Nolan""",No issues
BK-01160,XT-01490,Wedding Film,2023-04-09,1,Enugu,NGN,6023000.0,0.0,6023000.0,False,Cancelled,TikTok,"See contract, clause 4b - travel, per diem",No issues
BK-01161,XT-01747,Commercial / TVC,2023-04-10,5,Lagos,NGN,89520000.0,0.0,89520000.0,False,Completed,Referral,"Client said ""make it cinematic, like Nolan""",shoot_days_counted_from_timesheets
BK-01162,XT-01005,Event Coverage,2023-04-12,1,Unknown,NGN,1031955.0,0.0,1031955.0,True,Completed,Instagram,"half payment received, balance pending",No issues
BK-01163,XT-01136,Commercial / TVC,2023-04-12,1,Lagos,NGN,34366000.0,0.0,34366000.0,False,Invoiced,Unknown,Not applicable,No issues
BK-01164,XT-00981,Event Coverage,2023-04-12,1,Port Harcourt,NGN,2734000.0,0.0,2734000.0,False,Completed,Google,Not applicable,No issues
BK-01165,XT-01660,Wedding Film,2023-04-13,3,Lagos,NGN,10516000.0,0.0,10516000.0,False,Invoiced,Repeat Client,Not applicable,No issues
BK-01166,XT-01359,Music Video,2023-04-13,1,Abuja,NGN,2784000.0,0.0,2784000.0,False,Completed,Repeat Client,location permit paid by client,No issues
BK-01167,XT-00273,Corporate Documentary,2023-04-13,2,Port Harcourt,NGN,15439000.0,0.0,15439000.0,False,In Production,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01168,XT-01215,Studio Rental,2023-04-14,1,London,NGN,214543.4,0.1,193089.06,True,Completed,Google,location permit paid by client,No issues
BK-01169,XT-00651,Photoshoot,2023-04-14,1,Abuja,NGN,1400000.0,0.0,1400000.0,False,Completed,Instagram,client rescheduled once,No issues
