session_id	session_start_utc	session_date_lagos	visitor_id	source	channel	medium	campaign	gclid	device	country	landing_page	page_views	duration_seconds	user_agent	is_new_visitor	converted	transaction_id	revenue_ngn	is_bot	is_spam
S000146093	2025-01-01T06:34:45Z	2025-01-01	u084774	fb	Facebook / Meta	none	harmattan_drop	Not applicable	Desktop	Nigeria	/rates	3	169	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146094	2025-01-01T08:38:54Z	2025-01-01	u020229	meta	Facebook / Meta	paid	blackfriday24	Cj0KCQ3687720536	Tablet	Nigeria	/blog/5-tips-for-your-wedding-film	4	72	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146095	2025-01-01T06:19:17Z	2025-01-01	u005647	email	Email	referral	retarget_q4	Not applicable	Mobile	Nigeria	/blog/5-tips-for-your-wedding-film	1	29	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146096	2025-01-01T20:20:25Z	2025-01-01	u062623	facebook	Facebook / Meta	organic	brand_always_on	Not applicable	Desktop	Nigeria	/portfolio	1	31	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146097	2025-01-01T19:50:47Z	2025-01-01	u049209	ig	Instagram	paid	harmattan_drop	Cj0KCQ9697430299	Tablet	Nigeria	/about	1	0	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146098	2025-01-01T06:07:38Z	2025-01-01	u012966	facebook	Facebook / Meta	email	retarget_q4	Not applicable	Mobile	United Kingdom	/rates	2	184	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146099	2025-01-01T07:21:07Z	2025-01-01	u051952	referral	Referral / Other	social	wedding_season_23	Not applicable	Mobile	South Africa	/rates	2	85	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146100	2025-01-01T18:56:57Z	2025-01-01	u028962	google	Google	social	brand_always_on	Not applicable	Mobile	Nigeria	/portfolio	2	58	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146101	2025-01-01T08:57:43Z	2025-01-01	u005449	youtube	YouTube	paid	black_friday	Cj0KCQ8914880922	Desktop	Nigeria	/shop	2	171	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146102	2025-01-01T00:44:04Z	2025-01-01	u063133	fb	Facebook / Meta	paid	retarget_q4	Cj0KCQ4533643722	Desktop	Nigeria	/booking	40	0	curl/8.1.2	True	False	Not applicable	0.0	True	False
S000146103	2025-01-01T04:27:07Z	2025-01-01	u003516	linkedin	Referral / Other	email	harmattan_drop	Not applicable	Mobile	Nigeria	/	2	51	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146104	2025-01-01T18:09:10Z	2025-01-01	u065433	direct	Direct	paid	wedding_season_23	Cj0KCQ8852657413	Tablet	United States	/shop	2	104	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146105	2025-01-01T13:23:33Z	2025-01-01	u032385	tiktok	TikTok	social	harmattan_drop	Not applicable	Tablet	Nigeria	/portfolio	3	115	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146106	2024-12-31T23:17:59Z	2025-01-01	u076858	yt	YouTube	social	harmattan_drop	Not applicable	Desktop	Nigeria	/commercial	1	0	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146107	2025-01-01T19:31:50Z	2025-01-01	u089033	tiktok	TikTok	paid	Not applicable	Cj0KCQ1970561826	Mobile	United Kingdom	/	3	99	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146108	2025-01-01T18:20:01Z	2025-01-01	u061840	direct	Direct	social	Not applicable	Not applicable	Mobile	Nigeria	/	1	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146109	2025-01-01T16:01:04Z	2025-01-01	u004802	instagram	Instagram	social	Not applicable	Not applicable	Desktop	Nigeria	/about	1	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146110	2025-01-01T18:27:45Z	2025-01-01	u060171	google	Google	none	blackfriday24	Not applicable	Mobile	South Africa	/	3	92	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146111	2025-01-01T18:06:44Z	2025-01-01	u074934	direct	Direct	paid	showreel_push	Cj0KCQ6622875098	Desktop	Nigeria	/weddings	15	1195	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146112	2025-01-01T17:51:15Z	2025-01-01	u059410	behance	Referral / Other	none	blackfriday24	Not applicable	Tablet	Nigeria	/blog/5-tips-for-your-wedding-film	2	135	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146113	2025-01-01T14:21:37Z	2025-01-01	u077337	vimeo	Referral / Other	organic	Not applicable	Not applicable	Tablet	United Kingdom	/contact	3	246	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146114	2025-01-01T12:28:59Z	2025-01-01	u042849	direct	Direct	organic	retarget_q4	Not applicable	Desktop	United Kingdom	/shop	2	142	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146115	2025-01-01T10:09:47Z	2025-01-01	u071110	facebook	Facebook / Meta	paid	retarget_q4	Cj0KCQ7138109476	Mobile	Nigeria	/portfolio	1	0	curl/8.1.2	False	False	Not applicable	0.0	True	False
S000146116	2025-01-01T17:32:57Z	2025-01-01	u066628	newsletter	Email	paid	wedding_season_23	Cj0KCQ9885736796	Desktop	Nigeria	/blog/5-tips-for-your-wedding-film	1	83	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146117	2025-01-01T00:18:19Z	2025-01-01	u046508	google	Google	paid	showreel_push	Cj0KCQ5733421550	Desktop	Nigeria	/shop	15	1412	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146118	2025-01-01T07:28:16Z	2025-01-01	u068364	instagram	Instagram	paid	lagos_nights_launch	Cj0KCQ6768128377	Mobile	Ghana	/weddings	2	122	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146119	2025-01-01T20:29:37Z	2025-01-01	u052011	google	Google	social	showreel_push	Not applicable	Tablet	Ghana	/commercial	2	72	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146120	2025-01-01T05:46:33Z	2025-01-01	u057249	google	Google	none	black_friday	Not applicable	Tablet	Kenya	/shop/harmattan-drop	1	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146121	2025-01-01T19:04:33Z	2025-01-01	u063008	youtube	YouTube	referral	Not applicable	Not applicable	Tablet	United States	/booking	1	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146122	2025-01-01T16:47:21Z	2025-01-01	u041744	google	Google	email	harmattan_drop	Not applicable	Desktop	Ghana	/portfolio	4	174	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146123	2025-01-01T14:18:01Z	2025-01-01	u001783	(direct)	Direct	paid	brand_always_on	Cj0KCQ1624954065	Mobile	United States	/portfolio	1	0	python-requests/2.31.0	False	False	Not applicable	0.0	True	False
S000146124	2025-01-01T11:38:32Z	2025-01-01	u065374	referral	Referral / Other	organic	retarget_q4	Not applicable	Mobile	Nigeria	/about	1	16	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146125	2025-01-01T22:57:55Z	2025-01-01	u039689	referral	Referral / Other	social	lagos_nights_launch	Not applicable	Mobile	Nigeria	/about	1	0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146126	2025-01-01T21:37:10Z	2025-01-01	u067820	vimeo	Referral / Other	paid	Not applicable	Cj0KCQ9113311244	Mobile	Nigeria	/	3	235	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146127	2025-01-01T19:54:05Z	2025-01-01	u072839	tiktok	TikTok	social	black_friday	Not applicable	Mobile	Nigeria	/shop	3	123	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146128	2025-01-01T17:42:12Z	2025-01-01	u027541	google.com	Google	social	blackfriday24	Not applicable	Mobile	Nigeria	/blog/5-tips-for-your-wedding-film	15	242	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146129	2025-01-01T18:34:01Z	2025-01-01	u067097	behance	Referral / Other	social	retarget_q4	Not applicable	Mobile	Nigeria	/shop	9	658	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146130	2025-01-01T10:27:16Z	2025-01-01	u001026	google	Google	none	retarget_q4	Not applicable	Mobile	United Kingdom	/rates	1	44	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146131	2025-01-01T14:22:25Z	2025-01-01	u012815	meta	Facebook / Meta	paid	wedding_season_24	Cj0KCQ9981415770	Mobile	Nigeria	/shop/harmattan-drop	3	76	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146132	2025-01-01T13:12:35Z	2025-01-01	u082928	meta	Facebook / Meta	organic	wedding_season_24	Not applicable	Mobile	Nigeria	/portfolio	1	0	HeadlessChrome/119.0.0.0	False	False	Not applicable	0.0	True	False
S000146133	2025-01-01T18:54:24Z	2025-01-01	u011175	x.com	Referral / Other	referral	Not applicable	Not applicable	Mobile	Nigeria	/	2	102	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146134	2025-01-01T08:42:44Z	2025-01-01	u043308	ig	Instagram	paid	wedding_season_23	Cj0KCQ3823567316	Mobile	Nigeria	/contact	1	56	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146135	2025-01-01T08:54:48Z	2025-01-01	u042317	newsletter	Email	organic	retarget_q4	Not applicable	Mobile	Nigeria	/commercial	1	88	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146136	2025-01-01T01:16:24Z	2025-01-01	u046322	tiktok	TikTok	email	blackfriday24	Not applicable	Mobile	South Africa	/shop/harmattan-drop	1	0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146137	2025-01-01T18:53:24Z	2025-01-01	u047930	ig	Instagram	social	Not applicable	Not applicable	Mobile	Nigeria	/commercial	4	72	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146138	2025-01-01T06:44:25Z	2025-01-01	u056518	google.com	Google	paid	blackfriday24	Cj0KCQ4427317242	Mobile	Nigeria	/commercial	2	121	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146139	2025-01-01T19:38:21Z	2025-01-01	u056130	email	Email	referral	wedding_season_23	Not applicable	Mobile	United States	/shop	6	559	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146140	2025-01-01T17:25:50Z	2025-01-01	u053914	ig	Instagram	paid	wedding_season_24	Cj0KCQ6010555567	Mobile	United Kingdom	/shop	4	105	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146141	2025-01-01T21:19:40Z	2025-01-01	u085855	linkedin	Referral / Other	social	showreel_push	Not applicable	Mobile	Nigeria	/shop	4	305	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146142	2025-01-01T13:54:02Z	2025-01-01	u045938	behance	Referral / Other	email	wedding_season_23	Not applicable	Mobile	Nigeria	/contact	2	139	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146143	2025-01-01T19:30:54Z	2025-01-01	u075854	email	Email	paid	brand_always_on	Cj0KCQ4907337464	Tablet	Nigeria	/rates	3	190	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146144	2025-01-01T06:49:32Z	2025-01-01	u036545	youtube	YouTube	email	wedding_season_24	Not applicable	Tablet	Nigeria	/weddings	1	70	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146145	2025-01-01T14:56:24Z	2025-01-01	u000499	google.com	Google	email	retarget_q4	Not applicable	Desktop	Canada	/	2	69	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146146	2025-01-01T10:11:11Z	2025-01-01	u061241	direct	Direct	none	Not applicable	Not applicable	Tablet	Ghana	/	1	58	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146147	2025-01-01T18:47:44Z	2025-01-01	u081535	youtube	YouTube	none	wedding_season_24	Not applicable	Desktop	Nigeria	/shop	1	0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146148	2025-01-01T12:59:17Z	2025-01-01	u034682	ig	Instagram	paid	harmattan_drop	Cj0KCQ8545426700	Mobile	Nigeria	/commercial	2	155	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146149	2025-01-01T21:26:01Z	2025-01-01	u073667	email	Email	paid	brand_always_on	Cj0KCQ4374854116	Tablet	South Africa	/rates	2	96	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146150	2025-01-01T11:01:05Z	2025-01-01	u000501	ig	Instagram	social	retarget_q4	Not applicable	Tablet	Canada	/portfolio	1	0	Mozilla/5.0 (compatible; AhrefsBot/7.0)	True	False	Not applicable	0.0	True	False
S000146151	2025-01-01T07:43:20Z	2025-01-01	u028625	tik tok	TikTok	social	retarget_q4	Not applicable	Tablet	Nigeria	/	9	308	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146152	2025-01-01T13:44:06Z	2025-01-01	u019668	ig	Instagram	email	retarget_q4	Not applicable	Desktop	Nigeria	/weddings	2	113	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146153	2025-01-01T17:02:52Z	2025-01-01	u052118	youtube	YouTube	social	harmattan_drop	Not applicable	Tablet	Nigeria	/shop	3	174	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146154	2025-01-01T01:42:30Z	2025-01-01	u001263	facebook	Facebook / Meta	none	lagos_nights_launch	Not applicable	Mobile	Nigeria	/shop	2	74	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146155	2025-01-01T14:47:56Z	2025-01-01	u081181	meta	Facebook / Meta	paid	retarget_q4	Cj0KCQ4813078083	Mobile	Nigeria	/contact	6	393	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146156	2025-01-01T19:02:16Z	2025-01-01	u052848	facebook	Facebook / Meta	paid	retarget_q4	Cj0KCQ5511866003	Mobile	Nigeria	/	4	95	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146157	2025-01-01T16:16:26Z	2025-01-01	u032072	newsletter	Email	none	wedding_season_23	Not applicable	Mobile	Nigeria	/portfolio	1	89	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146158	2025-01-01T18:06:18Z	2025-01-01	u080484	facebook	Facebook / Meta	email	retarget_q4	Not applicable	Tablet	Nigeria	/	3	213	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146159	2025-01-01T08:06:54Z	2025-01-01	u025861	referral	Referral / Other	social	retarget_q4	Not applicable	Desktop	Nigeria	/shop/harmattan-drop	4	153	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146160	2025-01-01T13:48:58Z	2025-01-01	u003622	google	Google	none	showreel_push	Not applicable	Tablet	Nigeria	/portfolio	60	0	curl/8.1.2	True	False	Not applicable	0.0	True	False
S000146161	2025-01-01T18:41:09Z	2025-01-01	u060925	email	Email	organic	wedding_season_24	Not applicable	Desktop	Nigeria	/shop	60	0	Mozilla/5.0 (compatible; SEMrush spider)	False	False	Not applicable	0.0	True	False
S000146162	2025-01-01T18:37:21Z	2025-01-01	u057627	direct	Direct	paid	harmattan_drop	Cj0KCQ1025058604	Mobile	Nigeria	/	1	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146163	2025-01-01T11:43:28Z	2025-01-01	u032617	linkedin	Referral / Other	paid	blackfriday24	Cj0KCQ9021261800	Tablet	Nigeria	/blog/5-tips-for-your-wedding-film	1	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	False	False	Not applicable	0.0	False	False
S000146164	2025-01-01T07:43:44Z	2025-01-01	u077852	(direct)	Direct	social	harmattan_drop	Not applicable	Desktop	Ghana	/contact	2	63	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146165	2025-01-01T20:19:42Z	2025-01-01	u059788	referral	Referral / Other	none	Not applicable	Not applicable	Desktop	United States	/shop/harmattan-drop	4	107	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146166	2025-01-01T19:59:06Z	2025-01-01	u039798	tiktok	TikTok	none	wedding_season_24	Not applicable	Tablet	Nigeria	/shop	2	180	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146167	2025-01-01T16:24:31Z	2025-01-01	u001187	tiktok	TikTok	paid	wedding_season_23	Cj0KCQ8046788175	Mobile	Kenya	/portfolio	1	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146168	2025-01-01T13:10:02Z	2025-01-01	u054081	ig	Instagram	social	showreel_push	Not applicable	Mobile	Nigeria	/booking	1	51	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146169	2025-01-01T15:51:11Z	2025-01-01	u078875	google.com	Google	referral	lagos_nights_launch	Not applicable	Mobile	Nigeria	/weddings	2	35	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146170	2025-01-01T16:11:02Z	2025-01-01	u009619	twitter	Referral / Other	social	retarget_q4	Not applicable	Mobile	Nigeria	/commercial	1	52	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146171	2025-01-01T17:51:07Z	2025-01-01	u075093	tiktok	TikTok	social	Not applicable	Not applicable	Tablet	Nigeria	/portfolio	3	133	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146172	2025-01-01T16:23:49Z	2025-01-01	u011817	x.com	Referral / Other	paid	retarget_q4	Cj0KCQ9488807912	Tablet	United States	/shop/harmattan-drop	3	269	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	False	False	Not applicable	0.0	False	False
S000146173	2025-01-01T16:46:11Z	2025-01-01	u010452	google	Google	none	harmattan_drop	Not applicable	Mobile	United States	/portfolio	4	227	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146174	2025-01-01T16:56:17Z	2025-01-01	u009672	fb	Facebook / Meta	paid	Not applicable	Cj0KCQ9223373253	Desktop	Nigeria	/booking	3	224	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	True	ORD504288	167500.0	False	False
S000146175	2025-01-01T16:52:52Z	2025-01-01	u029853	facebook	Facebook / Meta	referral	harmattan_drop	Not applicable	Mobile	United Kingdom	/shop/harmattan-drop	4	378	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146176	2025-01-01T04:46:47Z	2025-01-01	u013078	linkedin	Referral / Other	none	retarget_q4	Not applicable	Tablet	Nigeria	/about	2	58	Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36	True	False	Not applicable	0.0	False	False
S000146177	2025-01-01T21:31:10Z	2025-01-01	u047149	youtube	YouTube	paid	harmattan_drop	Cj0KCQ8111285829	Mobile	Nigeria	/portfolio	60	0	Mozilla/5.0 (compatible; AhrefsBot/7.0)	True	False	Not applicable	0.0	True	False
S000146178	2025-01-01T15:03:07Z	2025-01-01	u043478	direct	Direct	referral	retarget_q4	Not applicable	Desktop	Nigeria	/shop	1	0	Mozilla/5.0 (compatible; AhrefsBot/7.0)	True	False	Not applicable	0.0	True	False
S000146179	2025-01-01T09:16:06Z	2025-01-01	u065260	x.com	Referral / Other	social	wedding_season_23	Not applicable	Tablet	Nigeria	/blog/5-tips-for-your-wedding-film	3	238	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
